,D1,D2,Cosine,Pearson,Euclidean,EDM,KS,Manhattan,Minkowski,Jaccard,Entropy
0,0-0-0,0-0-0,0.9999999999999996,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,0-0-0,0-0-1,0.9999925075061122,0.9999924319490712,0.02533801230301528,2.757689283918124e-05,0.9995158920660059,0.2525883502412493,0.014,0.0028776978417266188,0.025631151626780535
2,0-0-0,0-0-2,0.9999963057165876,0.9999962694518187,0.018087248680782365,1.8112944918711004e-05,0.9864665840846231,0.1584224897647829,0.011,0.0027739251040221915,0.007727036679313182
3,0-0-0,0-0-3,0.9999751617365518,0.9999749094942865,0.04624835513231077,4.345438456550682e-05,0.9486524915947875,0.4442640609861231,0.027,0.0031847133757961785,0.09966304447870089
4,0-0-0,0-1-0,0.999995763974016,0.9999957345258911,0.019234080611248865,2.510995236208827e-05,0.9258384097415063,0.20039787031348041,0.011,0.0027816411682892906,0.009652664769279728
5,0-0-0,0-1-1,0.9999876386470663,0.9999875021005208,0.03261790015963332,3.070462959904663e-05,0.9970208233132843,0.2962308759488902,0.02,0.0029895366218236174,0.052953747750106084
6,0-0-0,0-1-2,0.9999969561899336,0.9999969356204974,0.016521144020766126,2.0723539916303284e-05,0.9760198469076163,0.16204073422561724,0.009,0.0028011204481792717,0.010313448541604098
7,0-0-0,0-1-3,0.9999969688226527,0.9999969535440129,0.016481812620623246,2.1926800192801922e-05,0.9834371918660384,0.17015988322608744,0.009,0.0028011204481792717,0.011438858031630583
8,0-0-0,0-2-0,0.999953790947171,0.999953415178596,0.06287804837634786,7.081086368639292e-05,0.3506361296811728,0.6542920947463094,0.035,0.0033500837520938024,0.15931123656377943
9,0-0-0,0-2-1,0.9999829648638651,0.999982778306568,0.03875960799117916,3.453062372001531e-05,0.5666254922729073,0.35493926881720855,0.023,0.0029895366218236174,0.021207899711429334
10,0-0-0,0-2-2,0.9999726199419393,0.999972383396278,0.05004182390561944,5.171552455360476e-05,0.9970208233132843,0.43991770756070825,0.03,0.0030441400304414,0.07140550914902855
11,0-0-0,0-2-3,0.999997676914321,0.9999976517348673,0.014097131896247651,1.3670542553886309e-05,0.9258384097415063,0.14294443979107524,0.008,0.0028089887640449437,0.014154829439612993
12,0-0-0,0-3-0,0.9999966435623102,0.9999966067070603,0.01694083350475539,1.6708806361517367e-05,0.8666029917753658,0.1738128171534269,0.009,0.0028011204481792717,0.01721322276191206
13,0-0-0,0-3-1,0.9999844194667973,0.999984339959563,0.03729906748202805,4.8121221144224436e-05,0.9978250839566695,0.39016430080508535,0.02,0.002894356005788712,0.05056405665307484
14,0-0-0,0-3-2,0.999970749725994,0.9999704876644374,0.05114736782479035,4.8316194572213575e-05,0.9171804345352588,0.4746216336149861,0.031,0.0030627871362940277,0.053161152006103274
15,0-0-0,0-3-3,0.9999968458655886,0.9999968120854049,0.016512047704903145,1.716600645768333e-05,0.9080138491793379,0.16952360759510512,0.009,0.002797202797202797,0.009688827497075558
16,0-0-0,1-0-0,0.5858857044033094,0.5818700384459192,5.8727449672440075,0.0011194596827490866,0.2610018744241597,56.587042980846924,3.097,0.003527336860670194,0.025741290143399542
17,0-0-0,1-0-1,0.5849054102527094,0.5808696286190714,5.884380242413996,0.0010970312700400097,0.15679531296701105,56.80478775307671,3.101,0.003395585738539898,0.05591619880211551
18,0-0-0,1-0-2,0.4651574251749489,0.45993048399340647,6.677849636349775,0.001085388482272673,0.43290024620598067,66.81544002491002,3.414,0.0037105751391465678,0.11749916318953946
19,0-0-0,1-0-3,0.5128264221189486,0.508068923899293,6.375205951988665,0.001080433822775194,0.3730504893194599,62.869548051991956,3.296,0.003663003663003663,0.09817402816529741
20,0-0-0,1-1-0,0.5612125580818083,0.5569465807614442,6.0483012698309615,0.0011028076098174588,0.13949906748133606,58.71043562685515,3.167,0.0034782608695652175,0.003879589549180329
21,0-0-0,1-1-1,0.5616282166647842,0.5573610727243318,6.04344021214949,0.0010984263213017237,0.3730504893194599,58.725765710553326,3.166,0.0035714285714285713,0.057225698523651225
22,0-0-0,1-1-2,0.5618304909848151,0.5575757993271384,6.041258569611139,0.0011154810522115415,0.40832371061099104,58.60599303981356,3.165,0.0036363636363636364,0.11652829330971659
23,0-0-0,1-1-3,0.5130986122514429,0.508350118530128,6.371761439531912,0.001095011061919952,0.3506361296811728,62.7866193462695,3.295,0.0036900369003690036,0.1010065075197778
24,0-0-0,1-2-0,0.5852660513290745,0.5812316141284262,5.879925238193555,0.0010929391889567418,0.3617314721827243,56.7700000129213,3.099,0.0035211267605633804,0.035617232802692245
25,0-0-0,1-2-1,0.5866583316684139,0.5826746501696952,5.863954969741295,0.0011643524374035216,0.2270213926146101,56.27534348715288,3.096,0.0035587188612099642,0.06815029975797349
26,0-0-0,1-2-2,0.5372925208065839,0.5327927268492164,6.210540800497188,0.001109456745121493,0.08151763259087323,60.679420854651596,3.232,0.0033277870216306157,0.07364063245893204
27,0-0-0,1-2-3,0.5374334930342618,0.532933498230739,6.208858439859704,0.0011059563189069507,0.17576350445354966,60.70967520302976,3.232,0.003367003367003367,0.03265594588323517
28,0-0-0,1-3-0,0.5862045576967733,0.5822205984858583,5.869012138512203,0.0011706914904545003,0.2610018744241597,56.292377400296076,3.098,0.0036363636363636364,0.09877799162119028
29,0-0-0,1-3-1,0.5142219547574608,0.5094930409237576,6.35787839380004,0.0011164954917181188,0.49774305710623035,62.60106201801851,3.291,0.0037593984962406013,0.16925015378581842
30,0-0-0,1-3-2,0.6097356149721379,0.6059570992841267,5.702109101953514,0.0011203956910340524,0.09268556256404036,54.61128396990647,3.027,0.003305785123966942,0.07723168494960397
31,0-0-0,1-3-3,0.5127509010524679,0.5080021443648916,6.376169449106859,0.0010972956029409685,0.11887360002549359,62.819080671248585,3.297,0.0034423407917383822,0.027117020150942195
32,0-0-0,2-0-0,0.7377492174609274,0.735369396823778,4.633778074019761,0.001579613921204349,0.27005266362097363,41.53068208013923,2.611,0.003194888178913738,0.01719360366375411
33,0-0-0,2-0-1,0.7375878668458802,0.7352097922285825,4.6354657003690445,0.0015872109474090552,0.17576350445354966,41.519739933364114,2.612,0.003289473684210526,0.07504712412669179
34,0-0-0,2-0-2,0.7373918241500728,0.7350046507773548,4.637647344500186,0.0015725790329579855,0.40832371061099104,41.61013837797327,2.612,0.003367003367003367,0.058689306772891525
35,0-0-0,2-0-3,0.7374699780803854,0.7350872780170286,4.636806384153461,0.0015803384355523211,0.19649435810766677,41.55443186115078,2.612,0.0031496062992125984,0.0052889932123798555
36,0-0-0,2-1-0,0.7364965474161824,0.7340906568265837,4.647210757093449,0.001553993373038195,0.5386703021655014,41.81982776059065,2.616,0.0035714285714285713,0.13458675896600203
37,0-0-0,2-1-1,0.7375377250544761,0.7351548906214588,4.636067096011395,0.0015777139537741587,0.21907192975202863,41.57696332574512,2.612,0.0033112582781456954,0.07418927612498116
38,0-0-0,2-1-2,0.7128196065705925,0.7101938657338505,4.848999640665578,0.0015671036843720118,0.5386703021655014,43.66875720552284,2.707,0.003472222222222222,0.08160364968865341
39,0-0-0,2-1-3,0.7373139744949817,0.7349283891347426,4.63844290291237,0.0015774134881054722,0.2888318987114197,41.58576120957804,2.613,0.003205128205128205,0.03497371472148636
40,0-0-0,2-2-0,0.7126635513302877,0.7100430763088217,4.8505812740593015,0.0015784057066924515,0.19649435810766677,43.61131132264722,2.708,0.0032679738562091504,0.06275168602781234
41,0-0-0,2-2-1,0.7375854842209629,0.7352052190826737,4.63566808621597,0.0015830783847425218,0.24357079231897327,41.52558580237921,2.612,0.003205128205128205,0.016592715042969663
42,0-0-0,2-2-2,0.7375529351623532,0.7351760889664108,4.635911733297606,0.0015904714308283816,0.16924928981273388,41.496513255486924,2.612,0.0033003300330033004,0.0613925000759008
43,0-0-0,2-2-3,0.7372667381138699,0.7348818428986623,4.638851598081124,0.001579976751737723,0.17576350445354966,41.59294853183114,2.613,0.0032948929159802307,0.06272973546877492
44,0-0-0,2-3-0,0.761758748143491,0.7596026160045666,4.418574114935801,0.0015718620419673628,0.4582805853695553,39.63788317814962,2.512,0.0035211267605633804,0.117506720839048
45,0-0-0,2-3-1,0.7378517332979371,0.7354684792119689,4.63311278727361,0.001571873951743657,0.5248819085276248,41.570964931289964,2.611,0.0036101083032490976,0.14185231826629652
46,0-0-0,2-3-2,0.7374079318897765,0.7350197697507577,4.637403344928105,0.0015695135030272909,0.3506361296811728,41.630514094538384,2.612,0.003246753246753247,0.0385362785301524
47,0-0-0,2-3-3,0.7374261151706912,0.7350448295148825,4.6372330639560175,0.0015842067938125226,0.189382867733048,41.53702814971006,2.613,0.0031746031746031746,0.0025312263384007494
48,0-0-0,3-0-0,0.7732266246734025,0.7712873102289981,4.302833659398469,0.0017967810179816582,0.3291232760670552,36.98400608155745,2.481,0.0034423407917383822,0.09060696510071886
49,0-0-0,3-0-1,0.7485861656964458,0.7464178923812602,4.528950119952669,0.0017945473126728577,0.18247362476347695,38.992990190206626,2.584,0.003169572107765452,0.013140007296073897
50,0-0-0,3-0-2,0.7489754344972103,0.746813040039387,4.524752055438033,0.001796791158260183,0.19649435810766677,38.938227673364224,2.582,0.0034904013961605585,0.11007918723003374
51,0-0-0,3-0-3,0.7487457077564618,0.7465766407243394,4.527631327120992,0.0017898347176480318,0.17576350445354966,39.00854903372129,2.584,0.0033003300330033004,0.056429950103621174
52,0-0-0,3-1-0,0.748609770042856,0.7464416715544206,4.5288667114899,0.001793988384056998,0.13949906748133606,39.00762673480841,2.584,0.003372681281618887,0.09125140400402387
53,0-0-0,3-1-1,0.7730623741268854,0.7711193924054762,4.304425140033619,0.0017911300910861759,0.14508451090964886,37.05156713335597,2.481,0.003389830508474576,0.10722559504499918
54,0-0-0,3-1-2,0.7491490089475791,0.7469871231706771,4.523458466042889,0.0017937711412359667,0.18247362476347695,38.929019013313294,2.582,0.003430531732418525,0.09319573231917033
55,0-0-0,3-1-3,0.7487175575666408,0.7465514835595723,4.527761266369441,0.0017957683028343918,0.13949906748133606,38.96443559525139,2.584,0.0031545741324921135,0.015195994434790916
56,0-0-0,3-2-0,0.7483537367537342,0.7461744693156355,4.531704215759871,0.0017798266832999448,0.4582805853695553,39.08811717720421,2.585,0.003484320557491289,0.09456021793053171
57,0-0-0,3-2-1,0.7484585699500257,0.7462867577525617,4.530422280489477,0.0017918413106612825,0.3291232760670552,39.02866444770876,2.585,0.0034965034965034965,0.10778291593411804
58,0-0-0,3-2-2,0.7487685962878532,0.7466050870988337,4.52702859257148,0.0017993089647605955,0.15084875026442593,38.95853972780686,2.583,0.003284072249589491,0.07980265751469695
