,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
47,"[[114151  97273]
 [ 87034 124137]]","(array([0.        , 0.46008495, 1.        ]), array([0.       , 0.5878506, 1.       ]), array([2, 1, 0]))",0.5878506044864115,0.12791220858808566,0.563868479276849,0.5606657332550472,0.5638828283518784,15.063633124522605,0.5739364419611588,0.5658996855429058,cnn,0-1-0,2-3-3
48,"[[38954 34957]
 [14978 21617]]","(array([0.        , 0.47296072, 1.        ]), array([0.        , 0.59070911, 1.        ]), array([2, 1, 0]))",0.5907091132668397,0.11086352605745677,0.5481240837601579,0.3821013186269311,0.5588741951175427,15.607494170517729,0.4640384677306829,0.4111399781658558,cnn,0-1-0,3-0-0
49,"[[135580 122334]
 [ 53449  76186]]","(array([0.       , 0.4743209, 1.       ]), array([0.        , 0.58769622, 1.        ]), array([2, 1, 0]))",0.5876962240135766,0.10701651228265555,0.5464238070540758,0.38376989723957283,0.5566876631750072,15.666219107722148,0.4643293565540674,0.4123891026994257,cnn,0-1-0,3-0-1
50,"[[42168 38737]
 [16638 23719]]","(array([0.        , 0.47879612, 1.        ]), array([0.        , 0.58772951, 1.        ]), array([2, 1, 0]))",0.5877295140867755,0.10270941491572716,0.5433441638765648,0.3797713590367619,0.5544666975909436,15.77258924373532,0.46140079561923103,0.40869319493695316,cnn,0-1-0,3-0-2
51,"[[103294  93866]
 [ 40703  57776]]","(array([0.        , 0.47609048, 1.        ]), array([0.        , 0.58668346, 1.        ]), array([2, 1, 0]))",0.5866834553559642,0.10428510167646979,0.5448198647675037,0.38100262460268264,0.555296485235296,15.7216187840546,0.4619843995506175,0.40973154981157284,cnn,0-1-0,3-0-3
52,"[[123115 112889]
 [ 48969  69325]]","(array([0.        , 0.47833511, 1.        ]), array([0.        , 0.58603987, 1.        ]), array([2, 1, 0]))",0.5860398667726173,0.10162833154388112,0.5431585840168446,0.38045924023401057,0.5538523769042151,15.77899828811269,0.46138538741065127,0.40916602726789825,cnn,0-1-0,3-1-0
53,"[[110639 101494]
 [ 43956  62683]]","(array([0.        , 0.47844513, 1.        ]), array([0.        , 0.58780559, 1.        ]), array([2, 1, 0]))",0.5878055870741473,0.10324489816313531,0.5437177669305961,0.3818013485445586,0.5546802303338003,15.759684605239293,0.46291947300011815,0.4105799852491724,cnn,0-1-0,3-1-1
54,"[[66973 61198]
 [26201 37353]]","(array([0.       , 0.4774715, 1.       ]), array([0.        , 0.58773641, 1.        ]), array([2, 1, 0]))",0.5877364131289927,0.10385460815434988,0.5441439561872473,0.3790220292031537,0.5551324551074586,15.744965194431252,0.4608494494309244,0.40799942327605415,cnn,0-1-0,3-1-2
55,"[[153999 138930]
 [ 60492  86229]]","(array([0.        , 0.47427875, 1.        ]), array([0.        , 0.58770728, 1.        ]), array([2, 1, 0]))",0.5877072811662952,0.10700410499136503,0.5464073694984647,0.3829693683130588,0.5567142655127381,15.666787113151035,0.46374636979670864,0.4116504687513427,cnn,0-1-0,3-1-3
56,"[[36626 32801]
 [14221 20303]]","(array([0.        , 0.47245308, 1.        ]), array([0.        , 0.58808365, 1.        ]), array([2, 1, 0]))",0.5880836519522651,0.10894345443157309,0.5476522592375254,0.38232524856884603,0.5578152858692578,15.623789778230105,0.4633906970374766,0.4110917631813396,cnn,0-1-0,3-2-0
