,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
675,"[[148997 101236]
 [  8287 241480]]","(array([0.        , 0.40456694, 1.        ]), array([0.        , 0.96682108, 1.        ]), array([2, 1, 0]))",0.9668210772439914,0.6054287133419758,0.780954,0.7046067297704222,0.7811270668177173,7.565742710290493,0.8151457510173288,0.7450184526891069,svm,s-2-1-0,s-2-1-3
676,"[[ 74096  50391]
 [  4138 121375]]","(array([0.        , 0.40478926, 1.        ]), array([0.       , 0.9670313, 1.       ]), array([2, 1, 0]))",0.9670313035303116,0.6062661333453718,0.781884,0.7066299500483215,0.7811210242136846,7.533620922208757,0.8165729836281742,0.7468522983052682,svm,s-2-1-0,s-2-2-0
677,"[[14969 10190]
 [  828 24013]]","(array([0.        , 0.40502405, 1.        ]), array([0.        , 0.96666801, 1.        ]), array([2, 1, 0]))",0.966668008534278,0.6040500291547093,0.77964,0.7020729175803292,0.780821980736792,7.611127724338792,0.8133934015310614,0.7427328908216984,svm,s-2-1-0,s-2-2-1
678,"[[ 74808  50469]
 [  4065 120658]]","(array([0.        , 0.40285926, 1.        ]), array([0.        , 0.96740778, 1.        ]), array([2, 1, 0]))",0.9674077756307978,0.6074167519542983,0.781864,0.7050786842520467,0.7822742558797682,7.534311947211056,0.8156701030927835,0.7455102436757859,svm,s-2-1-0,s-2-2-2
679,"[[149344 101038]
 [  8315 241303]]","(array([0.       , 0.4035354, 1.       ]), array([0.       , 0.9666891, 1.       ]), array([2, 1, 0]))",0.9666891009462458,0.6060069495587178,0.781294,0.70486152695704,0.7815768515171277,7.553999209675638,0.8152693007454909,0.7452306449361388,svm,s-2-1-0,s-2-2-3
680,"[[ 74705  50093]
 [  4278 120924]]","(array([0.        , 0.40139265, 1.        ]), array([0.        , 0.96583122, 1.        ]), array([2, 1, 0]))",0.965831216753726,0.6070712577483844,0.782516,0.7070875994784144,0.7822192831152401,7.5117914624070385,0.8164499913915042,0.7471177728075921,svm,s-2-1-0,s-2-3-0
681,"[[15017 10069]
 [  759 24155]]","(array([0.        , 0.40137926, 1.        ]), array([0.       , 0.9695352, 1.       ]), array([2, 1, 0]))",0.9695352010917556,0.611281373531914,0.78344,0.7057912575970079,0.7840779728650996,7.479878439012351,0.8169028374310934,0.746400098881404,svm,s-2-1-0,s-2-3-1
682,"[[ 74425  50549]
 [  4023 121003]]","(array([0.        , 0.40447613, 1.        ]), array([0.        , 0.96782269, 1.        ]), array([2, 1, 0]))",0.967822692879881,0.6070113630683716,0.781712,0.7053429863831375,0.7816732809223128,7.539562097094259,0.8159944432830487,0.7457959109208934,svm,s-2-1-0,s-2-3-2
683,"[[148931 100878]
 [  8235 241956]]","(array([0.        , 0.40382052, 1.        ]), array([0.        , 0.96708515, 1.        ]), array([2, 1, 0]))",0.967085146947732,0.6066401050216792,0.781774,0.7057526383030854,0.7816323140356551,7.537420341134906,0.8160060705703807,0.7460745334490267,svm,s-2-1-0,s-2-3-3
684,"[[ 74460  50502]
 [  4205 120833]]","(array([0.        , 0.40413886, 1.        ]), array([0.        , 0.96637022, 1.        ]), array([2, 1, 0]))",0.9663702234520706,0.6053565487162219,0.781172,0.7052441124113579,0.781115682619587,7.558212886023194,0.8154116603064381,0.7455347998094717,svm,s-2-1-0,s-2-4-0
685,"[[14976  9999]
 [  864 24161]]","(array([0.        , 0.40036036, 1.        ]), array([0.        , 0.96547453, 1.        ]), array([2, 1, 0]))",0.9654745254745255,0.6073506006402613,0.78274,0.7072892271662764,0.7825570825570826,7.504054463052387,0.8164568725183746,0.7472551263415087,svm,s-2-1-0,s-2-4-1
686,"[[ 74617  50443]
 [  4049 120891]]","(array([0.        , 0.40335039, 1.        ]), array([0.        , 0.96759244, 1.        ]), array([2, 1, 0]))",0.9675924443732992,0.6075193326212017,0.782032,0.7055867486896938,0.7821210262806844,7.528509349618577,0.816075659693392,0.7459865527301808,svm,s-2-1-0,s-2-4-2
687,"[[149014 100628]
 [  8160 242198]]","(array([0.        , 0.40308922, 1.        ]), array([0.        , 0.96740667, 1.        ]), array([2, 1, 0]))",0.9674066736433428,0.6077651793706885,0.782424,0.7064750048129371,0.7821587249374532,7.514969736679501,0.8166032799266333,0.7467585723782143,svm,s-2-1-0,s-2-4-3
688,"[[113455  78415]
 [  1839  56291]]","(array([0.        , 0.40868817, 1.        ]), array([0.        , 0.96836401, 1.        ]), array([2, 1, 0]))",0.9683640116979184,0.47428941621469983,0.678984,0.41788042106513446,0.7798379187066232,11.087750644918604,0.5838225227654588,0.47148524006874915,svm,s-2-1-0,s-3-1-0
689,"[[23253 16385]
 [  339 10023]]","(array([0.        , 0.41336596, 1.        ]), array([0.        , 0.96728431, 1.        ]), array([2, 1, 0]))",0.9672843080486393,0.4497521774902324,0.66552,0.3795440775522569,0.7769591730464701,11.552791956647601,0.545172695131901,0.4320482093901408,svm,s-2-1-0,s-3-1-1
690,"[[113750  78358]
 [  1883  56009]]","(array([0.        , 0.40788515, 1.        ]), array([0.        , 0.96747392, 1.        ]), array([2, 1, 0]))",0.9674739169488012,0.4734387319721515,0.679036,0.41683597907224246,0.7797943845055915,11.085954446237851,0.5826411247327824,0.4703792663262565,svm,s-2-1-0,s-3-1-2
691,"[[198221 134984]
 [  5441 161354]]","(array([0.        , 0.40510797, 1.        ]), array([0.        , 0.96737912, 1.        ]), array([2, 1, 0]))",0.9673791180790791,0.5395657765002198,0.71915,0.5444931125944024,0.7811355757559754,9.7004312162297,0.6967933617341023,0.5966584994087181,svm,s-2-1-0,s-3-1-3
692,"[[113379  78277]
 [  1960  56384]]","(array([0.        , 0.40842447, 1.        ]), array([0.        , 0.96640614, 1.        ]), array([2, 1, 0]))",0.9664061428767311,0.47344576622237794,0.679052,0.4187106883210432,0.778990837018363,11.085401566745967,0.5842750187818968,0.47223729790213537,svm,s-2-1-0,s-3-2-0
693,"[[23435 16220]
 [  363  9982]]","(array([0.        , 0.40902787, 1.        ]), array([0.        , 0.96491058, 1.        ]), array([2, 1, 0]))",0.9649105848235863,0.45087893630603154,0.66834,0.38096328524540113,0.7779413597425207,11.455389968542434,0.5462555066079295,0.43342335848827207,svm,s-2-1-0,s-3-2-1
694,"[[113672  78095]
 [  1939  56294]]","(array([0.        , 0.40723899, 1.        ]), array([0.        , 0.96670273, 1.        ]), array([2, 1, 0]))",0.9667027286933526,0.4743097148836411,0.679864,0.4188884506916489,0.7797318677701015,11.05735549820637,0.5845022894581097,0.47243235440734893,svm,s-2-1-0,s-3-2-2
695,"[[198349 134883]
 [  5441 161327]]","(array([0.        , 0.40477205, 1.        ]), array([0.        , 0.96737384, 1.        ]), array([2, 1, 0]))",0.9673738367072819,0.5398082576609623,0.719352,0.5446372505992371,0.7813008930019341,9.693454221879243,0.6969100043630583,0.5967965563980089,svm,s-2-1-0,s-3-2-3
696,"[[ 83074  56487]
 [  3554 106885]]","(array([0.        , 0.40474774, 1.        ]), array([0.        , 0.96781934, 1.        ]), array([2, 1, 0]))",0.9678193391827162,0.5876096659500036,0.759836,0.654243077149083,0.7815357972344676,8.29515136154749,0.7807210082867378,0.699576006607961,svm,s-2-1-0,s-3-3-0
697,"[[15303 10297]
 [  759 23641]]","(array([0.        , 0.40222656, 1.        ]), array([0.        , 0.96889344, 1.        ]), array([2, 1, 0]))",0.9688934426229509,0.606596349821621,0.77888,0.6965937886734633,0.7833334400614754,7.6373789055374255,0.8104837327299531,0.7380800739297667,svm,s-2-1-0,s-3-3-1
698,"[[ 83418  56170]
 [  3618 106794]]","(array([0.        , 0.40239849, 1.        ]), array([0.        , 0.96723182, 1.        ]), array([2, 1, 0]))",0.9672318226279752,0.5887856289768939,0.760848,0.6553226479467857,0.7824166678260087,8.260197105946295,0.7812975535526161,0.7005016608331978,svm,s-2-1-0,s-3-3-2
699,"[[198148 134754]
 [  5493 161605]]","(array([0.        , 0.40478579, 1.        ]), array([0.        , 0.96712708, 1.        ]), array([2, 1, 0]))",0.9671270751295646,0.5398860725494884,0.719506,0.5453014755752313,0.7811706411568304,9.688135044018292,0.6973894018215282,0.5974156657060008,svm,s-2-1-0,s-3-3-3
700,"[[ 83206  56124]
 [  3667 107003]]","(array([0.        , 0.40281346, 1.        ]), array([0.        , 0.96686546, 1.        ]), array([2, 1, 0]))",0.9668654558597632,0.5883707524275341,0.760836,0.6559490458354533,0.7820259957114074,8.260611424137107,0.7816228811856959,0.7010356692671957,svm,s-2-1-0,s-3-4-0
701,"[[15173 10405]
 [  797 23625]]","(array([0.       , 0.4067949, 1.       ]), array([0.        , 0.96736549, 1.        ]), array([2, 1, 0]))",0.9673654901318484,0.6009948908688303,0.77596,0.6942403761387012,0.7802852941315275,7.738233859741013,0.808355573804147,0.7357887655566768,svm,s-2-1-0,s-3-4-1
702,"[[ 83272  56376]
 [  3652 106700]]","(array([0.        , 0.40370073, 1.        ]), array([0.       , 0.9669059, 1.       ]), array([2, 1, 0]))",0.9669059011164274,0.5872313311012209,0.759888,0.654296156393338,0.7816025839221,8.293354990153693,0.7804614011732521,0.6995290143918096,svm,s-2-1-0,s-3-4-2
703,"[[198307 134643]
 [  5349 161701]]","(array([0.        , 0.40439405, 1.        ]), array([0.        , 0.96797965, 1.        ]), array([2, 1, 0]))",0.9679796468123316,0.5410357447234743,0.720016,0.545653024862997,0.7817927968255982,9.670520090546262,0.6978985485353716,0.5978182909822792,svm,s-2-1-0,s-3-4-3
704,"[[183877   2120]
 [ 57288   6715]]","(array([0.        , 0.01139803, 1.        ]), array([0.        , 0.10491696, 1.        ]), array([2, 1, 0]))",0.1049169570176398,0.22105086496678827,0.762368,0.7600452744765138,0.5467594618580137,8.207525292861625,0.18438177874186548,0.33797046596136615,svm,s-2-2-0,s-0-1-0
705,"[[38060   411]
 [10355  1174]]","(array([0.        , 0.01068337, 1.        ]), array([0.        , 0.10183017, 1.        ]), array([2, 1, 0]))",0.1018301674039379,0.2191287495587697,0.78468,0.7406940063091483,0.5455733977567115,7.436895906043046,0.1790452951044685,0.32850187475516257,svm,s-2-2-0,s-0-1-1
